row,study_author,pmid,year,age,older_women,ui_type,followup,n1,n2,N1,N2,granular_trt_code1,granular_trt_code2,coarse_trt_code1,coarse_trt_code2,trt_description1,trt_description2,outcome,combined,randomization_sequence,blinding_of_patients,blinding_of_assessors,intention_to_treat,attrition_bias,selection_bias,interventions_described,intervention_compliance,other_issues,allocation_concealment,to_flip,or_string,counts_string,coarse_comparison_string,granular_comparison_string
29,Lim,27871927,2017,45.6,0,sui,2,47,27,57,58,N3,P1,N,P,magnetic stimulation,control,satisfaction,Lim 2017 27871927,Low,Low,Unclear,Low,Low,Unclear,Yes,Low,No,Unclear,0,"5.40 (2.29, 12.70)",47/57 vs 27/58,G vs K,G3 vs K1
30,Lim,27871927,2017,45.6,0,sui,2,45,13,60,60,N3,P1,N,P,magnetic stimulation,control,improvement,Lim 2017 27871927,Low,Low,Unclear,Low,Low,Unclear,Yes,Low,No,Unclear,0,"10.85 (4.65, 25.32)",45/60 vs 13/60,G vs K,G3 vs K1
31,Rovner,21351127,2011,58.8,0,uui,3,27,7,53,44,B1,P1,B,P,botox,control,cure,Rovner 2011 21351127,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"5.49 (2.08, 14.49)",27/53 vs 7/44,B vs K,B1 vs K1
32,McMichael,no pmid,2013,54.4,0,uui,1,21,20,34,33,C3,P1,C,P,tolterodine,control,improvement,McMichael 2013 no pmid,Low,Low,Low,Low,Low,Unclear,No,Unclear,No,Unclear,0,"1.05 (0.39, 2.81)",21/34 vs 20/33,A vs K,A3 vs K1
33,Dede,23086134,2013,51.83,0,0,1.5,2,3,30,30,C1,C4,C,C,oxybutynin,trospium,cure,Dede 2013 23086134,Low,Unclear,Low,Low,Low,Low,Yes,Low,No,Low,0,"0.64 (0.10, 4.15)",2/30 vs 3/30,A vs A,A1 vs A4
34,Dede,23086134,2013,51.83,0,0,1.5,7,3,30,30,C3,C4,C,C,tolterodine,trospium,cure,Dede 2013 23086134,Low,Unclear,Low,Low,Low,Low,Yes,Low,No,Low,0,"2.74 (0.63, 11.82)",7/30 vs 3/30,A vs A,A3 vs A4
35,Dede,23086134,2013,51.83,0,0,1.5,2,7,30,30,C1,C3,C,C,oxybutynin,tolterodine,cure,Dede 2013 23086134,Low,Unclear,Low,Low,Low,Low,Yes,Low,No,Low,0,"0.23 (0.04, 1.24)",2/30 vs 7/30,A vs A,A1 vs A3
36,Dede,23086134,2013,51.83,0,0,1.5,22,17,30,30,C1,C4,C,C,oxybutynin,trospium,improvement,Dede 2013 23086134,Low,Unclear,Low,Low,Low,Low,Yes,Low,No,Low,0,"2.10 (0.71, 6.22)",22/30 vs 17/30,A vs A,A1 vs A4
37,Dede,23086134,2013,51.83,0,0,1.5,19,17,30,30,C3,C4,C,C,tolterodine,trospium,improvement,Dede 2013 23086134,Low,Unclear,Low,Low,Low,Low,Yes,Low,No,Low,0,"1.32 (0.47, 3.72)",19/30 vs 17/30,A vs A,A3 vs A4
38,Dede,23086134,2013,51.83,0,0,1.5,22,19,30,30,C1,C3,C,C,oxybutynin,tolterodine,improvement,Dede 2013 23086134,Low,Unclear,Low,Low,Low,Low,Yes,Low,No,Low,0,"1.59 (0.53, 4.77)",22/30 vs 19/30,A vs A,A1 vs A3
39,Samuelsson,no pmid,2017,44.7,0,sui,3,56,12,62,61,T4,P1,T,P,pfmt (pelvic floor muscle therapy),control,improvement,Samuelsson 2017 no pmid,Low,High,High,Low,Low,Low,Yes,Unclear,No,Unclear,0,"38.11 (13.31, 109.16)",56/62 vs 12/61,H vs K,H4 vs K1
40,Jabs,23343798,2013,63.4,0,uui,6,6,0,11,10,B1,P1,B,P,botox,control,cure,Jabs 2013 23343798,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"24.82 (1.17, 527.12)",6/11 vs 0/10,B vs K,B1 vs K1
41,Wang,28153510,2017,NA,0,uui,0.75,34,1,80,40,N1,N4,N,N,electroacupuncture,tens (transcutaneous electrical nerve stimulation),cure,Wang 2017 28153510,Low,High,Unclear,Low,Low,Low,Yes,Low,No,Low,0,"28.83 (3.77, 220.33)",34/80 vs 1/40,G vs G,G1 vs G4
42,Wang,28153510,2017,NA,0,uui,0.75,56,18,80,40,N1,N4,N,N,electroacupuncture,tens (transcutaneous electrical nerve stimulation),improvement,Wang 2017 28153510,Low,High,Unclear,Low,Low,Low,Yes,Low,No,Low,0,"2.85 (1.30, 6.25)",56/80 vs 18/40,G vs G,G1 vs G4
43,Xu,26960195,2016,58.5,0,sui,1.5,39,23,40,40,N1,P1,N,P,electroacupuncture,control,satisfaction,Xu 2016 26960195,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"28.83 (3.60, 231.10)",39/40 vs 23/40,G vs K,G1 vs K1
44,Sherburn,21284022,2011,71.8,1,sui,5,6,14,35,41,T1,T4,T,T,bladder training,pfmt (pelvic floor muscle therapy),improvement,Sherburn 2011 21284022,Low,High,Low,High,Low,Low,Yes,Low,No,Low,0,"0.40 (0.13, 1.19)",6/35 vs 14/41,H vs H,H1 vs H4
45,Sherburn,21284022,2011,71.8,1,sui,5,15,26,35,43,T1,T4,T,T,bladder training,pfmt (pelvic floor muscle therapy),satisfaction,Sherburn 2011 21284022,Low,High,Low,High,Low,Low,Yes,Low,No,Low,0,"0.49 (0.20, 1.21)",15/35 vs 26/43,H vs H,H1 vs H4
46,Abdulaziz,no pmid,2012,43.8,0,sui,3,26,5,29,27,T4,P1,T,P,pfmt (pelvic floor muscle therapy),control,cure,Abdulaziz 2012 no pmid,Low,High,High,Low,Low,Unclear,Yes,),No,Unclear,0,"38.13 (8.18, 177.85)",26/29 vs 5/27,H vs K,H4 vs K1
47,Abdulaziz,no pmid,2012,43.8,0,sui,3,0,0,29,27,T4,P1,T,P,pfmt (pelvic floor muscle therapy),control,ui,Abdulaziz 2012 no pmid,Low,High,High,Low,Low,Unclear,Yes,),No,Unclear,0,"0.93 (0.02, 48.62)",0/29 vs 0/27,H vs K,H4 vs K1
48,Ozlu,28345778,2017,42.4,0,sui,2,8,28,17,34,T4,T4+T6,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), biofeedback",improvement,Ozlu 2017 28345778,Low,High,Low,Low,Low,Low,Yes,Low,No,Unclear,0,"0.19 (0.05, 0.70)",8/17 vs 28/34,H vs H,H4 vs H4+H6
49,Ozlu,28345778,2017,42.4,0,sui,2,7,28,17,34,T4,T4+T6,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), biofeedback",satisfaction,Ozlu 2017 28345778,Low,High,Low,Low,Low,Low,Yes,Low,No,Unclear,0,"0.15 (0.04, 0.55)",7/17 vs 28/34,H vs H,H4 vs H4+H6
50,Terlikowski,23443345,2013,46.9,0,sui,4,29,2,64,29,N4+T6,P1,N+T,P,"tens (transcutaneous electrical nerve stimulation), biofeedback",control,cure,Terlikowski 2013 23443345,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"11.19 (2.45, 51.06)",29/64 vs 2/29,G+H vs K,G4+H6 vs K1
51,Terlikowski,23443345,2013,46.9,0,sui,4,12,4,64,29,N4+T6,P1,N+T,P,"tens (transcutaneous electrical nerve stimulation), biofeedback",control,improvement,Terlikowski 2013 23443345,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"1.44 (0.42, 4.92)",12/64 vs 4/29,G+H vs K,G4+H6 vs K1
52,Porta-Roda,25130167,2015,NA,0,0,6,21,32,30,35,T4,T4+T9,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), weights",improvement,Porta-Roda 2015 25130167,Low,High,High,Low,Low,Low,Yes,High,No,Low,0,"0.22 (0.05, 0.90)",21/30 vs 32/35,H vs H,H4 vs H4+H9
53,Ong,26142713,2015,51.9,0,sui,4,10,12,16,21,T4,T4+T6,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), biofeedback",cure,Ong 2015 26142713,Low,High,Unclear,High,Low,Low,Yes,Low,"Yes (Potentially a typo, but results for certain outcomes report more dropouts than participant flow)",Unclear,0,"1.25 (0.33, 4.73)",10/16 vs 12/21,H vs H,H4 vs H4+H6
54,Ong,26142713,2015,51.9,0,sui,4,13,13,16,16,T4,T4+T6,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), biofeedback",improvement,Ong 2015 26142713,Low,High,Unclear,High,Low,Low,Yes,Low,"Yes (Potentially a typo, but results for certain outcomes report more dropouts than participant flow)",Unclear,0,"1.00 (0.17, 5.90)",13/16 vs 13/16,H vs H,H4 vs H4+H6
55,Lian,26054138,2015,51.5,0,sui,NA,10,15,45,45,A2,N4,A,N,midodrine,tens (transcutaneous electrical nerve stimulation),cure,Lian 2015 26054138,Unclear,High,Unclear,Unclear,Low,Unclear,Yes,Unclear,No,Unclear,0,"0.57 (0.22, 1.46)",10/45 vs 15/45,D vs G,D2 vs G4
56,Lian,26054138,2015,51.5,0,sui,NA,21,24,45,45,A2,N4,A,N,midodrine,tens (transcutaneous electrical nerve stimulation),improvement,Lian 2015 26054138,Unclear,High,Unclear,Unclear,Low,Unclear,Yes,Unclear,No,Unclear,0,"0.77 (0.33, 1.75)",21/45 vs 24/45,D vs G,D2 vs G4
57,Rutledge,24183730,2014,57,0,0,3,16,8,20,20,T4,P1,T,P,pfmt (pelvic floor muscle therapy),control,improvement,Rutledge 2014 24183730,Low,High,High,Low,Low,Low,Yes,Low,No,Low,0,"6.00 (1.46, 24.69)",16/20 vs 8/20,H vs K,H4 vs K1
58,Wang,26921645,2016,56.9,0,sui,4,11,3,21,21,N1,N4+T4,N,N+T,electroacupuncture,"tens, pfmt",cure,Wang 2016 26921645,Unclear,High,Unclear,Low,Low,Low,Yes,Low,No,Unclear,0,"6.60 (1.48, 29.36)",11/21 vs 3/21,G vs G+H,G1 vs G4+H4
59,Wang,26921645,2016,56.9,0,sui,4,5,2,21,21,N1,N4+T4,N,N+T,electroacupuncture,"tens, pfmt",improvement,Wang 2016 26921645,Unclear,High,Unclear,Low,Low,Low,Yes,Low,No,Unclear,0,"2.97 (0.51, 17.42)",5/21 vs 2/21,G vs G+H,G1 vs G4+H4
60,Tannenbaum,24334159,2013,71.6,1,0,3,111,7,195,64,T2,P1,T,P,education,control,improvement,Tannenbaum 2013 24334159,Low,High,High,Low,Low,Low,Yes,Low,No,Unclear,0,"10.76 (4.67, 24.79)",111/195 vs 7/64,H vs K,H2 vs K1
61,Lopès,25444700,2014,51.24,0,sui,6,63,58,76,85,N4,P1,N,P,tens (transcutaneous electrical nerve stimulation),control,improvement,Lopès 2014 25444700,Low,Low,Unclear,Low,Low,High,Yes,Unclear,No,Unclear,0,"2.26 (1.06, 4.78)",63/76 vs 58/85,G vs K,G4 vs K1
62,Baker,24763155,2014,58,0,uui,2,6,0,13,11,T7,T8,T,T,mbsr (mindfulness based stress reduction),yoga,improvement,Baker 2014 24763155,Low,High,Low,Low,Unclear,Low,Yes,Unclear,No,Low,0,"19.93 (0.97, 408.44)",6/13 vs 0/11,H vs H,H7 vs H8
63,Hirakawa,23306768,2013,56.8,0,sui,3,17,16,23,23,T4,T4+T6,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), biofeedback",improvement,Hirakawa 2013 23306768,Low,High,High,Low,Low,Low,Yes,High,No,Low,0,"1.24 (0.34, 4.49)",17/23 vs 16/23,H vs H,H4 vs H4+H6
64,Liu,28655016,2017,55.4,0,sui,1.5,159,52,246,240,N1,P1,N,P,electroacupuncture,control,improvement,Liu 2017 28655016,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"6.61 (4.41, 9.89)",159/246 vs 52/240,G vs K,G1 vs K1
65,Liu,28655016,2017,55.4,0,sui,1.5,210,75,252,252,N1,P1,N,P,electroacupuncture,control,satisfaction,Liu 2017 28655016,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"11.80 (7.70, 18.09)",210/252 vs 75/252,G vs K,G1 vs K1
66,Huang,24763156,2014,61.4,0,0,1.5,9,0,9,9,T8,P1,T,P,yoga,control,satisfaction,Huang 2014 24763156,Low,High,Low,High,Low,Low,Yes,Low,No,High,0,"361.00 (6.47, 20143.55)",9/9 vs 0/9,H vs K,H8 vs K1
67,Manonai,25920290,2015,47.8,0,sui,4,25,20,32,29,T4,T4+T6,T,T,pfmt (pelvic floor muscle therapy),"pfmt (pelvic floor muscle therapy), biofeedback",improvement,Manonai 2015 25920290,Low,High,Low,Low,Low,Low,Yes,Low,No,Low,0,"1.61 (0.51, 5.07)",25/32 vs 20/29,H vs H,H4 vs H4+H6
68,Oreskovic,22816227,2012,56.9,0,uui,3,71,68,77,80,C2,P1,C,P,solifenacin,control,improvement,Oreskovic 2012 22816227,Low,Low,High,Low,Low,Low,Yes,Low,No,Low,0,"2.09 (0.74, 5.88)",71/77 vs 68/80,A vs K,A2 vs K1
69,Talley,2824818,2017,84.9,1,0,3,13,3,23,19,T1+T2+T4,P1,T,P,"pmft (pelvic floor muscle therapy), bladder training,  education",control,improvement,Talley 2017 2824818,Low,High,Low,Low,Low,Low,Yes,Low,No,Low,0,"6.93 (1.57, 30.56)",13/23 vs 3/19,H vs K,H1+H2+H4 vs K1
70,Talley,2824818,2017,84.9,1,0,3,19,7,23,19,T1+T2+T4,P1,T,P,"pmft (pelvic floor muscle therapy), bladder training,  education",control,satisfaction,Talley 2017 2824818,Low,High,Low,Low,Low,Low,Yes,Low,No,Low,0,"8.14 (1.96, 33.87)",19/23 vs 7/19,H vs K,H1+H2+H4 vs K1
71,Lovatsis,27438055,2017,51,0,sui,NA,12,4,18,18,T1,P1,T,P,bladder training,control,improvement,Lovatsis 2017 27438055,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"7.00 (1.59, 30.80)",12/18 vs 4/18,H vs K,H1 vs K1
72,Lovatsis,27438055,2017,51,0,sui,NA,9,2,14,17,T1,P1,T,P,bladder training,control,cure,Lovatsis 2017 27438055,Low,Low,Low,Low,Low,Low,Yes,Low,No,Low,0,"13.50 (2.15, 84.69)",9/14 vs 2/17,H vs K,H1 vs K1
73,Hahn,10.1002/nau.1930100604,1991,47.2,0,sui,NA,1,1,10,10,N4,T4,N,T,tens,pfmt,cure,Hahn 1991 10.1002/nau.1930100604,Unclear,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"1.00 (0.05, 18.57)",1/10 vs 1/10,G vs H,G4 vs H4
74,Hahn,10.1002/nau.1930100604,1991,47.2,0,sui,NA,3,4,10,10,N4,T4,N,T,tens,pfmt,improvement,Hahn 1991 10.1002/nau.1930100604,Unclear,Unclear,Unclear,Low,Low,Low,yes,Low,,Unclear,0,"0.64 (0.10, 4.10)",3/10 vs 4/10,G vs H,G4 vs H4
75,Bo,10024253,1999,49.5,0,sui,6,3,1,32,32,N4,P1,N,P,tens,control,cure,Bo 1999 10024253,Low,High,Low,Low,Low,Low,yes,Low,,Low,0,"3.21 (0.32, 32.60)",3/32 vs 1/32,G vs K,G4 vs K1
76,Bo,10024253,1999,49.5,0,sui,6,2,1,29,32,T4+T6,P1,T,P,pfmt & biofeedback,control,cure,Bo 1999 10024253,Low,High,Low,Low,Low,Low,yes,Low,,Low,0,"2.30 (0.20, 26.75)",2/29 vs 1/32,H vs K,H4+H6 vs K1
77,Bo,10024253,1999,49.5,0,sui,6,3,2,32,29,N4,T4+T6,N,T,tens,pfmt & biofeedback,cure,Bo 1999 10024253,Low,High,Low,Low,Low,Low,yes,Low,,Low,0,"1.40 (0.22, 9.01)",3/32 vs 2/29,G vs H,G4 vs H4+H6
78,Jackson,10428529,1999,63,0,sui,6,0,0,26,23,H2,P1,H,P,po estrogen,control,improvement,Jackson 1999 10428529,Low,Low,Low,Low,Low,Low,yes,Low,,Low,0,"0.89 (0.02, 46.48)",0/26 vs 0/23,C vs K,C2 vs K1
79,Lose,10955437,2000,66,0,0,NA,42,41,134,117,H1,H1+T5,H,H+T,vaginal estrogen,vaginal estrogen & bladder support,cure,Lose 2000 10955437,Adequate,Open-label,,,,,,,,Unclear,0,"0.85 (0.50, 1.43)",42/134 vs 41/117,C vs C+H,C1 vs C1+H5
80,Fujishiro,10992380,2000,58,0,sui,NA,4,1,31,31,N3,P1,N,P,magnetic stimulation,control,cure,Fujishiro 2000 10992380,Low,Low,Low,Low,Low,Unclear,yes,Low,,Unclear,0,"4.44 (0.47, 42.26)",4/31 vs 1/31,G vs K,G3 vs K1
81,Fujishiro,10992380,2000,58,0,sui,NA,23,10,31,31,N3,P1,N,P,magnetic stimulation,control,improvement,Fujishiro 2000 10992380,Low,Low,Low,Low,Low,Unclear,yes,Low,,Unclear,0,"6.04 (2.01, 18.17)",23/31 vs 10/31,G vs K,G3 vs K1
82,McFall,11010699,2000,75,1,0,NA,25,15,72,73,T1+T4,P1,T,P,bladder training & pfmt,control,cure,McFall 2000 11010699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2.06 (0.97, 4.34)",25/72 vs 15/73,H vs K,H1+H4 vs K1
83,McFall,11067699,2000,75,1,0,NA,39,56,72,73,T1+T4,P1,T,P,bladder training & pfmt,control,ui,McFall 2000 11067699,Unclear,Unclear,Unclear,High,High,Low,yes,Low,,Unclear,0,"0.36 (0.18, 0.73)",39/72 vs 56/73,H vs K,H1+H4 vs K1
84,Lee,11125386,2001,57,0,sui,12,6,6,35,33,U3,P1,U,P,autologous fat,control,cure,Lee 2001 11125386,Low,Low,High,Low,Low,Low,yes,Low,,Unclear,0,"0.93 (0.27, 3.24)",6/35 vs 6/33,I vs K,I3 vs K1
85,Kim,11251875,2001,53.5,0,0,3,6,2,16,17,T4,P1,T,P,pfmt,control,cure,Kim 2001 11251875,Unclear,Unclear,Unclear,Low,Low,Low,yes,High,,Unclear,0,"4.50 (0.75, 26.93)",6/16 vs 2/17,H vs K,H4 vs K1
86,Ishiko,11304861,2001,NA,1,sui,NA,25,23,32,34,H1+T4,T4,H+T,T,vaginal estrogen & pfmt,pfmt,cure,Ishiko 2001 11304861,Low,High,High,Low,Low,Low,yes,Low,,Unclear,0,"1.71 (0.57, 5.15)",25/32 vs 23/34,C+H vs H,C1+H4 vs H4
87,Pages,11421517,2001,51.1,0,sui,NA,20,9,27,13,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,improvement,Pages 2001 11421517,Low,Unclear,Unclear,Low,Low,Unclear,yes,Low,,Unclear,0,"1.27 (0.30, 5.46)",20/27 vs 9/13,H vs H,H4 vs H4+H6
88,Pages,11421517,2001,51.1,0,sui,NA,6,4,27,13,T4,T4+T6,T,T,pfmt,pfmt & biofeedback,cure,Pages 2001 11421517,Low,Unclear,Unclear,Low,Low,Unclear,yes,Low,,Unclear,0,"0.64 (0.15, 2.84)",6/27 vs 4/13,H vs H,H4 vs H4+H6
89,Lightner,11445471,2001,57.4,0,sui,12,79,76,188,176,U2,U4,U,U,contigen,durasphere,improvement,Lightner 2001 11445471,Unclear,Low,Low,Unclear,High,Unclear,yes,Unclear,,Unclear,0,"0.95 (0.63, 1.45)",79/188 vs 76/176,I vs I,I2 vs I4
